,-,traw,t,-.1,-.2,ECG,Ax,Ay,Az,Amag,Aave,Smooth
0,67,27.9199999999994,0.0,536936130,133133,515,0.193553,0.968863,0.091378,0.9922238736605767,0.4179313333333334,
1,67,27.9399999999994,0.019999999999999574,0,86903,532,0.195688,0.959957,0.084607,0.9833461138592046,0.41341733333333336,
2,67,27.9599999999994,0.03999999999999915,0,86903,537,0.199958,0.97905,0.06161,1.0011582773787568,0.4135393333333333,
3,67,27.9799999999994,0.05999999999999872,536936130,133133,535,0.198616,0.96624,0.07808,0.9895274323918464,0.41431199999999996,
4,67,27.9999999999994,0.0799999999999983,0,86903,554,0.201056,0.971913,0.064843,0.9946069622489077,0.412604,
5,67,28.0199999999994,0.09999999999999787,-778,585,572,0.205448,0.978379,0.063196,1.0017125749240647,0.4156743333333333,
6,67,28.0399999999994,0.11999999999999744,116621,536878210,569,0.204045,0.981063,0.069296,1.0044505501068732,0.4181346666666667,
7,67,28.0599999999994,0.13999999999999702,1073811460,4583547,559,0.201605,0.975329,0.071126,0.9984839218244829,0.41602,
8,67,28.0799999999994,0.16000000000000014,-606,537,491,0.190808,0.974292,0.072651,0.9954550526914815,0.4125836666666667,
9,67,28.0999999999994,0.17999999999999972,116621,536878210,453,0.197945,0.971669,0.078568,0.994734034408193,0.41606066666666663,
10,67,28.1199999999994,0.1999999999999993,-461,488,439,0.200202,0.981002,0.053009,1.002624415665707,0.4114043333333334,
11,67,28.1399999999994,0.21999999999999886,-461,488,417,0.205082,0.976915,0.055815,0.9997684022682453,0.41260399999999997,
12,67,28.1599999999994,0.23999999999999844,116621,536878210,417,0.200202,0.979965,0.070028,1.002654558067234,0.41673166666666667,
13,67,28.1799999999994,0.259999999999998,234636,0,406,0.199775,0.968741,0.077775,0.9921784750391432,0.4154303333333333,
14,67,28.1999999999994,0.2799999999999976,234636,0,396,0.199287,0.963495,0.074664,0.9867181138957569,0.412482,
15,67,28.2199999999994,0.29999999999999716,536936130,133133,395,0.200202,0.966484,0.070516,0.9895173921240596,0.41240066666666664,
16,67,28.2399999999994,0.3200000000000003,0,86903,395,0.205448,0.979477,0.066368,1.0029899230087012,0.41709766666666664,
17,67,28.2599999999994,0.33999999999999986,0,86903,383,0.207644,0.973743,0.066978,0.9978865232424978,0.41612166666666667,
18,67,28.2799999999994,0.35999999999999943,-420,334,375,0.196298,0.975695,0.068076,0.9975710398788649,0.4133563333333334,
19,67,28.2999999999994,0.379999999999999,0,86903,375,0.192272,0.974841,0.069601,0.9960561211427797,0.41223800000000005,
20,67,28.3199999999994,0.3999999999999986,-432,703,374,0.193614,0.974109,0.071614,0.9957425821330531,0.41311233333333336,
21,67,28.3399999999994,0.41999999999999815,116621,536878210,380,0.200141,0.969656,0.067832,0.9924164239073233,0.41254300000000005,
22,67,28.3599999999994,0.4399999999999977,0,86903,383,0.202886,0.976244,0.063318,0.9991117283147065,0.4141493333333333,
23,67,28.3799999999994,0.4599999999999973,-570,-80,375,0.207461,0.975085,0.063867,0.9989543620381264,0.4154709999999999,
24,67,28.3999999999994,0.4800000000000004,116621,536878210,361,0.204167,0.975024,0.065026,0.9982907117373175,0.41473899999999997,
25,67,28.4199999999994,0.5,-281,-259,363,0.199409,0.976122,0.065941,0.9984619790688076,0.413824,
26,67,28.4399999999994,0.5199999999999996,-281,-259,363,0.197457,0.970632,0.069723,0.9929637672150984,0.412604,
27,67,28.4599999999994,0.5399999999999991,116621,536878210,404,0.197518,0.969717,0.068015,0.9919629330967967,0.41175,
28,67,28.4799999999994,0.5599999999999987,536936190,133133,74,0.204472,0.970571,0.069418,0.9943016260416152,0.41482033333333335,
29,67,28.4999999999994,0.5799999999999983,0,86903,-1,0.218136,0.989298,0.036905,1.0137336071794207,0.4147796666666667,
30,67,28.5199999999994,0.5999999999999979,536936130,133133,0,0.20862,0.974048,0.075884,0.9990246203973154,0.41951733333333335,
31,67,28.5399999999994,0.6199999999999974,0,86903,484,0.218502,0.985333,-0.004514,1.0092792582278702,0.3997736666666667,
